10000	5000	5000
0	3858	2602
1	1817	762
2	1068	2624
3	3607	3004
4	599	4505
5	3405	4959
6	4214	3130
7	3906	1241
8	1144	4248
9	1710	2777
10	1877	2144
11	3706	2769
12	774	564
13	2995	27
14	451	2169
15	1478	3137
16	3872	3188
17	4918	2795
18	655	4802
19	2205	944
20	3400	3080
21	3368	1350
22	3093	4729
23	1497	1435
24	2807	203
25	4336	27
26	38	944
27	3460	23
28	3751	1294
29	2670	2972
30	3013	3151
31	1479	2705
32	3477	4829
33	4626	4997
34	192	4634
35	4297	2480
36	3025	1606
37	1990	1565
38	4286	2825
39	2629	2302
40	2392	3760
41	4007	3708
42	212	1997
43	4067	4736
44	2512	740
45	1342	3294
46	185	1888
47	647	1010
48	1911	3028
49	2689	3210
50	4879	1451
51	2545	2225
52	1212	388
53	1829	4233
54	138	1145
55	1764	634
56	196	4733
57	2681	2095
58	1798	1565
59	96	3036
60	3898	3240
61	2611	2548
62	454	1230
63	4794	4369
64	3167	3468
65	4949	1920
66	1620	4819
67	2337	1382
68	1621	3032
69	4818	1985
70	592	641
71	4232	590
72	3723	1175
73	2206	3532
74	2457	3310
75	3694	2042
76	3434	71
77	3957	4230
78	3876	2728
79	607	3429
80	2979	639
81	2938	3981
82	3618	1477
83	1893	3344
84	4561	3202
85	926	2206
86	1939	1197
87	4142	4559
88	1425	1466
89	4514	4995
90	2145	421
91	2824	3000
92	524	3831
93	3427	4303
94	967	94
95	2091	3050
96	1215	1316
97	4590	4188
98	4899	2654
99	3308	3688
100	439	2234
101	2093	4052
102	2959	1741
103	3551	135
104	1973	3722
105	1668	1819
106	1239	2213
107	2205	3332
108	3163	2041
109	3052	4599
110	2060	2335
111	1343	4961
112	3980	3308
113	3028	456
114	1459	1118
115	2202	388
116	3786	975
117	2453	2541
118	1692	4334
119	3819	644
120	2149	2464
121	3773	160
122	1684	3118
123	1882	4689
124	1968	303
125	3092	291
126	4677	1106
127	2028	3367
128	4363	1713
129	4174	970
130	2282	2524
131	2122	4072
132	2171	3671
133	1555	4895
134	2920	2635
135	3400	651
136	573	2909
137	383	1045
138	2982	2272
139	2176	1997
140	4764	1958
141	3217	1553
142	1941	3818
143	3968	2377
144	2325	255
145	2810	4511
146	817	1874
147	3372	3081
148	4973	2881
149	528	4077
150	4554	4094
151	3640	2337
152	893	219
153	2339	3489
154	1141	4076
155	592	2612
156	2760	211
157	1417	1507
158	1864	2657
159	1322	4103
160	1010	2925
161	3520	1368
162	1816	1907
163	11	1165
164	2938	1451
165	313	1519
166	899	3589
167	1684	4407
168	240	1245
169	1978	1951
170	2547	1299
171	3890	19
172	1679	4397
173	2571	978
174	695	599
175	121	332
176	4677	3183
177	4882	4254
178	2006	1167
179	3144	2148
180	2581	3993
181	186	2254
182	606	753
183	4824	3613
184	783	458
185	425	2926
186	2511	2709
187	785	2730
188	1699	4502
189	224	4605
190	1233	3123
191	517	4514
192	3572	4466
193	105	3992
194	3651	3905
195	4349	3951
196	1857	62
197	3354	4591
198	1931	4222
199	2883	3299
200	2373	1212
201	3606	4508
202	1282	1919
203	1660	2072
204	1226	1483
205	189	4668
206	703	1565
207	4286	1120
208	4048	3212
209	2904	1991
210	897	4916
211	1076	4702
212	1433	2819
213	4326	315
214	4968	574
215	2786	1211
216	4465	2935
217	3797	1455
218	2680	1322
219	2137	4184
220	4447	3275
221	1151	4456
222	2491	4454
223	2048	4854
224	1239	197
225	3088	2231
226	1437	1094
227	1792	4927
228	3381	1604
229	4040	2653
230	4217	2037
231	2091	3064
232	1780	1045
233	3020	2655
234	2699	1081
235	1081	1304
236	3065	3450
237	227	1083
238	3885	1710
239	2959	4769
240	760	210
241	374	294
242	4247	2003
243	3602	950
244	3855	4257
245	4823	1265
246	1662	449
247	1896	235
248	306	4837
249	989	4184
250	2764	165
251	2672	290
252	4637	2568
253	439	3707
254	1253	2102
255	78	3570
256	1372	1343
257	879	4128
